INSTNM,CITY,STABBR,ZIP
Columbia College - Jefferson City,Jefferson City,MO,65109-6877
Columbia College - Lake Ozark,Osage Beach,MO,65065-9677
Columbia College - Saint Louis,Saint Louis,MO,63134-3701
Columbia College - Fort Worth,Fort Worth,TX,76127-1188
Columbia College - Salt Lake,Murray,UT,84107-5322
Columbia College - Lake County,Gurnee,IL,60031-9184
Columbia College - Naval Station Everett/Marysville,Marysville,WA,98271-7854
Columbia College - Freeport,Freeport,IL,61032-9341
Columbia College - Springfield,Springfield,MO,65804-4378
Columbia College - Rolla,Rolla,MO,65401-1701
Columbia College - Los Alamitos,Los Alamitos,CA,90720-5177
Columbia College - Lemoore,NAS Lemoore,CA,93246-0001
Columbia College - San Luis Obispo,San Luis Obispo,CA,93403-8106
Columbia College - Fort Stewart,Ft. Stewart,GA,31314-5056
Columbia College - Hunter Army Airfield,Hunter Army Airfield,GA,31409-0029
Columbia College - Elgin,Elgin,IL,60123-7193
Columbia College - Hancock Field,Syracuse,NY,13211-2100
Columbia College - Whidbey Island,Oak Harbor,WA,98278-1000
Columbia College - Fort Drum,Ft. Drum,NY,13602-5203
Columbia College -  Jacksonville,Jacksonville,FL,32216-6010
Columbia College - Fort Sill,Fort Sill,OK,73503-9009
Columbia College - San Diego,San Diego,CA,92140-5290
Columbia College - Mesquite,Mesquite,TX,75150
Columbia College - Waynesville,Waynesville,MO,65583-3449
Columbia College - Naval Base San Diego,San Diego,CA,92136-5588
Columbia College - Imperial,Imperial,CA,92251-0158
Columbia College - NSB Kings Bay,Kings Bay,GA,31547-2532
Columbia College - Waynesville,Waynesville,MO,65583-3449
Evangel University - Assemblies of God Theological Seminary,Springfield,MO,65802
Lindenwood University-Belleville,Belleville,IL,62226
City College Montana State University Billings,Billings,MT,59102-9856
University of Montana (The) - Bitterroot College University of Montana,Hamilton,MT,598403213
New Hampshire Institute for Therapeutic Arts,Harrison,ME,4040
American Institute,Clifton,NJ,07011-2379
Monmouth University -  Monmouth Park Corporate Center,West Long Branch,NJ,07764-1898
Bard College - Holyoke Microcollege,Holyoke,MA,01040-3927
Bard College - Coxsackie Correctional Facility,Coxsackie,NY,12051-0200
Bard College - Eastern NY Correctional Facility,Napanoch,NY,12458-0338
Bard College - Fishkill Correctional Facility,Beacon,NY,12508-0307
Bard College - Green Haven Correctional Facility,Stormville,NY,12582-0010
Bard College - Taconic Correctional Facility,Bedford Hill,NY,10507-2497
Bard College - Woodbourne Correctional Facility,Woodbourne,NY,12788-1000
Bard College - BHSEC Newark,Newark,NJ,07103-2639
Bard College - Brooklyn Public Library,Brooklyn,NY,11238-5619
Bard College - MAT Program CA,Los Angeles,CA,90010-1757
Berkeley College - Westchester Campus,White Plains,NY,10601
Bryant & Stratton College-Syracuse,Syracuse,NY,13203-2502
Bryant & Stratton College-Amherst,Getzville,NY,14068
Bryant & Stratton College-Southtowns,Orchard Park,NY,14127
Bryant & Stratton College-Henrietta,Rochester,NY,14623
Culinary Institute of America at Greystone,St. Helena,CA,94574
